Estado,Ano,Mes,Qtd_Focos,Media_Risco,Media_DiasSemChuva,Media_FRP
ESPÍRITO SANTO,2022,8,1184,0.9445363636363636,39.542815674891145,8.566361136571953
ESPÍRITO SANTO,2022,9,1731,0.9715550092194223,32.71803556308213,23.439771359807462
ESPÍRITO SANTO,2022,10,1446,0.7070021261516655,3.2395514780835883,14.003356643356643
ESPÍRITO SANTO,2022,11,238,0.6532327586206897,2.9849246231155777,16.90301724137931
ESPÍRITO SANTO,2022,12,72,0.09274193548387097,1.6271186440677967,12.015714285714287
ESPÍRITO SANTO,2023,1,112,0.08254901960784314,2.10752688172043,7.167567567567568
ESPÍRITO SANTO,2023,2,510,0.29840764331210196,5.684931506849315,8.247589098532494
ESPÍRITO SANTO,2023,3,580,0.6223371647509579,6.266666666666667,10.911700182815355
ESPÍRITO SANTO,2023,4,212,0.5508205128205128,4.338709677419355,9.402463054187193
ESPÍRITO SANTO,2023,5,306,0.7441090909090909,4.792035398230088,5.778546712802768
ESPÍRITO SANTO,2023,6,609,0.8690958408679927,10.100208768267223,6.40445205479452
ESPÍRITO SANTO,2023,7,858,0.9017363751584284,16.340983606557376,15.341379310344829
ESPÍRITO SANTO,2023,8,605,0.8479159369527146,5.481262327416173,8.361224489795918
ESPÍRITO SANTO,2023,9,893,0.8600355871886121,8.016282225237449,9.086027713625866
ESPÍRITO SANTO,2023,10,1053,0.6024221789883268,4.4840525328330205,34.511320754716984
ESPÍRITO SANTO,2023,11,3948,0.8227150395778364,10.272884283246977,31.874618220115853
ESPÍRITO SANTO,2023,12,1990,0.7797567424643046,7.312896405919662,49.12222792607803
ESPÍRITO SANTO,2024,1,568,0.52928,5.563549160671463,10.248888888888889
ESPÍRITO SANTO,2024,2,239,0.21731182795698925,2.977401129943503,6.41409691629956
ESPÍRITO SANTO,2024,3,524,0.4665927419354839,6.405727923627685,7.543392504930966
ESPÍRITO SANTO,2024,4,824,0.6635483870967742,11.827642276422765,13.772681067344346
