Estado,Ano,Mes,Internacoes
GO,2018,2,2495
GO,2018,3,3781
GO,2018,4,4221
GO,2018,5,3636
GO,2018,6,2945
GO,2018,7,2830
GO,2018,8,2607
GO,2018,9,2746
GO,2018,10,2644
GO,2018,11,2565
GO,2018,12,2704
GO,2019,1,2401
GO,2019,2,2636
GO,2019,3,3720
GO,2019,4,4065
GO,2019,5,4011
GO,2019,6,3819
GO,2019,7,3323
GO,2019,8,3229
GO,2019,9,2977
GO,2019,10,3100
GO,2019,11,2827
GO,2019,12,2884
GO,2020,1,2661
GO,2020,2,2863
GO,2020,3,3231
GO,2020,4,1763
GO,2020,5,1694
GO,2020,6,1712
GO,2020,7,1850
GO,2020,8,1702
GO,2020,9,1559
GO,2020,10,1558
GO,2020,11,1527
GO,2020,12,1524
GO,2021,1,1652
GO,2021,2,1297
GO,2021,3,1539
GO,2021,4,1420
GO,2021,5,1666
GO,2021,6,1688
GO,2021,7,1789
GO,2021,8,1701
GO,2021,9,1632
GO,2021,10,1650
GO,2021,11,2058
GO,2021,12,2644
GO,2022,1,3992
GO,2022,2,2258
GO,2022,3,3066
GO,2022,4,2906
GO,2022,5,3323
GO,2022,6,3522
GO,2022,7,2892
GO,2022,8,3028
GO,2022,9,3113
GO,2022,10,3046
GO,2022,11,2775
GO,2022,12,2938
GO,2023,1,3165
GO,2023,2,4187
GO,2023,3,4927
GO,2023,4,4187
GO,2023,5,4525
GO,2023,6,3864
GO,2023,7,3807
GO,2023,8,3518
GO,2023,9,3244
GO,2023,10,2856
GO,2023,11,2866
GO,2023,12,2913
GO,2024,1,2616
GO,2024,2,2968
GO,2024,3,3968
GO,2024,4,4928
GO,2024,5,4956
GO,2024,6,4182
GO,2024,7,3593
GO,2024,8,3509
GO,2024,9,3516
GO,2024,10,3594
GO,2024,11,3282
GO,2024,12,3426
GO,2025,1,3578
GO,2025,2,4214
GO,2025,3,4559
GO,2025,4,4812
GO,2025,5,5871
GO,2025,6,5026
GO,2025,7,3911
GO,2025,8,3818
GO,2025,9,4004
GO,2025,10,3429
GO,2025,11,2571
GO,2025,12,1918
MA,2016,1,3066
MA,2016,2,3116
MA,2016,3,3560
MA,2016,4,3974
MA,2016,5,4205
MA,2016,6,3838
MA,2016,7,3195
MA,2016,8,2955
MA,2016,9,2790
MA,2016,10,2795
MA,2016,11,2512
MA,2016,12,2447
MA,2017,1,3165
MA,2017,2,4221
MA,2017,3,6162
MA,2017,4,5099
MA,2017,5,4856
MA,2017,6,4242
MA,2017,7,3937
MA,2017,8,3380
MA,2017,9,3272
MA,2017,10,3265
MA,2017,11,3296
MA,2017,12,3077
MA,2018,1,3191
MA,2018,2,3030
MA,2018,3,4080
MA,2018,4,4870
MA,2018,5,6014
MA,2018,6,4992
MA,2018,7,4424
MA,2018,8,3868
MA,2018,9,3573
MA,2018,10,3701
MA,2018,11,3393
MA,2018,12,3171
MA,2019,1,3304
MA,2019,2,3265
MA,2019,3,4766
MA,2019,4,5464
MA,2019,5,5272
MA,2019,6,4383
MA,2019,7,3853
MA,2019,8,3512
MA,2019,9,3404
MA,2019,10,3409
MA,2019,11,3420
MA,2019,12,3244
MA,2020,1,3077
MA,2020,2,3570
MA,2020,3,4543
MA,2020,4,2338
MA,2020,5,2369
MA,2020,6,2109
MA,2020,7,2170
MA,2020,8,2166
MA,2020,9,1936
MA,2020,10,2015
MA,2020,11,1843
MA,2020,12,1571
MA,2021,1,2188
MA,2021,2,2659
MA,2021,3,2954
MA,2021,4,2783
MA,2021,5,2699
MA,2021,6,2344
MA,2021,7,2315
MA,2021,8,2537
MA,2021,9,2753
MA,2021,10,3027
MA,2021,11,3013
MA,2021,12,5504
MA,2022,1,6973
MA,2022,2,2848
MA,2022,3,4063
MA,2022,4,4824
MA,2022,5,5810
MA,2022,6,5606
MA,2022,7,4635
MA,2022,8,3733
MA,2022,9,3721
MA,2022,10,3522
MA,2022,11,3450
MA,2022,12,3226
MA,2023,1,2929
MA,2023,2,3141
MA,2023,3,4926
MA,2023,4,5679
MA,2023,5,6821
MA,2023,6,6120
MA,2023,7,4823
MA,2023,8,4116
MA,2023,9,3947
MA,2023,10,4015
MA,2023,11,3794
MA,2023,12,3388
MA,2024,1,3167
MA,2024,2,2820
MA,2024,3,4926
MA,2024,4,6024
MA,2024,5,5632
MA,2024,6,4769
MA,2024,7,4146
MA,2024,8,3764
MA,2024,9,3938
MA,2024,10,3984
MA,2024,11,3615
MA,2024,12,3278
MA,2025,1,3052
MA,2025,2,2954
MA,2025,3,4432
MA,2025,4,5864
MA,2025,5,8404
MA,2025,6,6843
MA,2025,7,5161
MA,2025,8,4283
MA,2025,9,4279
MA,2025,10,4137
MA,2025,11,3473
MA,2025,12,2495
MG,2016,1,7749
MG,2016,2,7418
MG,2016,3,10263
MG,2016,4,12129
MG,2016,5,14017
MG,2016,6,13457
MG,2016,7,12833
MG,2016,8,10547
MG,2016,9,9102
MG,2016,10,8799
MG,2016,11,7883
MG,2016,12,8858
MG,2017,1,7728
MG,2017,2,7602
MG,2017,3,10893
MG,2017,4,10853
MG,2017,5,13971
MG,2017,6,13503
MG,2017,7,13065
MG,2017,8,11605
MG,2017,9,10597
MG,2017,10,9823
MG,2017,11,8506
MG,2017,12,8597
MG,2018,1,8485
MG,2018,2,7089
MG,2018,3,10547
MG,2018,4,11789
MG,2018,5,13649
MG,2018,6,13053
MG,2018,7,13042
MG,2018,8,11103
MG,2018,9,10020
MG,2018,10,9355
MG,2018,11,9516
MG,2018,12,9606
MG,2019,1,8373
MG,2019,2,7388
MG,2019,3,10137
MG,2019,4,12224
MG,2019,5,13957
MG,2019,6,13285
MG,2019,7,13641
MG,2019,8,11754
MG,2019,9,10691
MG,2019,10,9933
MG,2019,11,8730
MG,2019,12,9248
MG,2020,1,8765
MG,2020,2,8659
MG,2020,3,10517
MG,2020,4,5784
MG,2020,5,5918
MG,2020,6,6058
MG,2020,7,7327
MG,2020,8,6946
MG,2020,9,6046
MG,2020,10,6255
MG,2020,11,6337
MG,2020,12,6137
MG,2021,1,5959
MG,2021,2,5355
MG,2021,3,6798
MG,2021,4,6086
MG,2021,5,6952
MG,2021,6,6638
MG,2021,7,7356
MG,2021,8,6967
MG,2021,9,6418
MG,2021,10,6984
MG,2021,11,8047
MG,2021,12,11346
MG,2022,1,15004
MG,2022,2,8028
MG,2022,3,10515
MG,2022,4,10541
MG,2022,5,13255
MG,2022,6,14412
MG,2022,7,12846
MG,2022,8,11643
MG,2022,9,11441
MG,2022,10,10741
MG,2022,11,10237
MG,2022,12,10276
MG,2023,1,8998
MG,2023,2,10163
MG,2023,3,14324
MG,2023,4,13384
MG,2023,5,14943
MG,2023,6,14194
MG,2023,7,14760
MG,2023,8,12695
MG,2023,9,11460
MG,2023,10,10578
MG,2023,11,10411
MG,2023,12,9253
MG,2024,1,8913
MG,2024,2,9147
MG,2024,3,12792
